RTX 3050,278
GTX 1660 Super,160
GTX 1660 Ti,168
GTX 1660,160
RTX 4090,1599
RTX 4080,1199
RX 7900 XTX,999
RX 7900 XT,879
RTX 3080 12GB,1059
RTX 3080 Ti,849
RTX 4070 Ti,799
RTX 3090 Ti,1699
RTX 3090,996
RX 6950 XT,699
RX 6900 XT,669
RX 6800 XT,539
RX 6800,479
RTX 3080,649
RTX 3070 Ti,530
RTX 3070,399
RTX 3060 Ti,340
RTX 3060,329
RX 6750 XT,409
RX 6700 XT,359
RX 6700 10GB,349
RX 6650 XT,289
RX 6600 XT,274
RX 6600,229
Titan RTX,2899
RTX 2080 Ti,350
RTX 2080 Super,423
RTX 2080,379
RTX 2070 Super,329
RTX 2070,299
RTX 2060 Super,231
RTX 2060,206
RX 5700 XT,229
RX 5700,209
RX 5600 XT,199
GTX 1080 Ti,354
GTX 1080,254
GTX 1070 Ti,203
RX Vega 64,560
RX Vega 56,585
Radeon VII,1699
Arc A770,319
Arc A750,249
